type_compte,anciennete_compte,age_client,statut_professionnel,revenus_mensuels,region,montant_transaction,type_transaction,categorie_marchand,pays_transaction,heure_transaction,jour_semaine,mode_paiement,nb_trans_24h,montant_total_24h,nb_pays_24h,distance_trans_precedente,temps_depuis_derniere_trans,montant_moyen_30j,ratio_montant_moyen,auth_3d_secure,ip_match_pays,appareil_connu,nb_tentatives_echouees,score_risque_marchand,is_fraud,annee_transaction,mois_transaction
0,48.92,43.38707164871287,3,2637.9,8,146.6,0,3,6,18,3,2,0.0,0.0,1,18.38,1058.28,789.46,0.1856977983781998,0,1,1,0.0,6.0,0,2023,11
0,39.15,55.40663273406163,3,3873.35,8,46.14,1,8,6,14,0,2,1.0,29.67,1,24.23,1401.25,856.99,0.0538433013124805,1,1,1,0.0,3.0,0,2023,8
1,111.64,46.13364925719987,3,3516.72,11,107.27,3,1,6,17,4,0,2.0,116.02,1,20.27,557.0,884.98,0.1561044392863976,1,1,1,1.0,8.0,0,2023,3
3,75.32,52.84677596949247,3,3434.78,2,16.7,1,7,5,11,4,0,2.0,20.77,1,3.91,1118.13,1368.74,0.0122007916024445,1,1,1,0.0,2.0,0,2023,6
0,42.34,39.79599122824453,2,1307.93,11,160.11,4,1,6,18,2,2,3.0,238.45,1,33.01,943.7,410.22,0.39030785112694,1,1,1,0.0,3.0,0,2023,1
0,27.97,25.3467136804618,1,3365.08,11,50.54,4,1,6,13,4,4,1.0,74.89,1,34.3,1559.84,2217.23,0.0227938289265427,1,0,1,0.0,3.0,0,2023,8
3,56.06,31.81564632516249,5,1297.93,9,97.04,3,1,3,8,5,2,7.0,460.74,1,6.77,854.42,884.98,0.2835475265086959,0,1,1,1.0,1.0,0,2023,7
2,40.79,44.146259559640654,3,3294.88,0,45.48,3,1,6,13,0,0,1.0,124.9,1,17.56,937.09,540.44,0.0841598701402538,1,1,1,0.0,4.0,0,2023,8
0,68.85,56.32168143122578,3,3365.08,9,66.98,1,4,6,16,2,3,1.0,84.22,1,31.9,1612.34,1821.88,0.036763613193324,1,1,1,0.0,1.0,0,2023,9
0,37.13,36.450857675739535,3,2518.55,7,48.66,4,1,6,12,4,0,1.0,56.9,1,43.4,650.38,384.03,0.126709229422625,1,1,1,0.0,8.0,0,2023,5
1,18.14,30.98994746012655,3,3323.72,4,70.51,0,5,6,17,3,2,1.0,63.4,3,30.7,600.05,1043.4,0.0675768936852068,1,1,1,0.0,3.0,0,2023,8
2,87.93,51.33516878933549,1,4137.25,4,81.47,2,1,6,11,4,0,1.0,25.38,1,21.87,649.15,884.98,0.0504257643555261,1,1,1,0.0,4.0,0,2023,2
0,47.73,39.46575312038659,2,2172.62,9,127.8,3,1,8,7,1,0,0.0,0.0,1,4.31,864.96,567.22,0.2253145208008502,1,1,1,0.0,1.0,0,2023,5
2,20.7,60.27979364132835,2,1841.21,9,66.29,2,1,2,20,0,3,2.0,100.44,3,-1000.0,1151.08,493.6,0.134289800710395,0,1,1,0.0,3.0,0,2023,4
0,25.08,66.92033530542273,3,4800.11,11,119.9,3,1,3,18,4,4,0.0,0.0,1,39.47,692.53,1232.15,0.0973095046484955,1,1,1,0.0,2.0,0,2023,6
3,25.35,42.0670115807576,1,7921.67,8,102.53,0,7,6,19,3,3,0.0,0.0,1,12.38,1110.94,1622.23,0.0632040436517964,0,1,1,0.0,6.0,0,2023,4
3,46.63,30.98886816622451,3,2470.75,11,37.16,1,8,6,12,5,1,1.0,31.46,1,11.05,852.87,557.54,0.0666522755490162,1,1,1,1.0,1.0,0,2023,12
0,26.17,39.55492891160549,3,3759.86,3,38.0,0,3,6,10,0,4,3.0,127.84,1,32.52,694.97,884.98,0.0340417649975852,0,1,1,0.0,10.0,0,2023,2
1,117.17,26.35992114177964,3,2596.43,3,176.88,4,1,1,5,3,2,2.0,260.54,1,4.43,1146.89,788.55,0.2243117001172886,1,1,1,0.0,9.0,0,2023,1
3,13.24,28.644576843372832,3,2904.53,9,97.08,0,8,6,10,4,3,1.0,30.99,1,3.1,1223.44,477.85,0.203166188640572,1,1,0,1.0,6.0,0,2023,1
1,42.01,50.02475732145753,0,406.12,11,83.89,1,8,6,21,4,0,2.0,146.87,1,17.3,1689.82,884.98,0.7122357811147125,1,1,1,0.0,3.0,0,2023,3
2,68.18,54.91446468286904,2,1725.23,11,105.22,1,7,6,10,1,0,0.0,0.0,3,42.52,1392.0,394.72,0.2665740424607546,0,0,1,0.0,3.0,0,2023,7
0,55.45,37.75909786831404,1,5798.08,9,52.92,1,0,6,18,5,2,5.0,235.0,1,3.93,755.01,884.98,0.0294661285933872,1,1,1,1.0,3.0,0,2023,6
0,50.87,25.98385589584334,1,5172.39,8,73.97,2,1,6,18,0,4,3.0,109.36,1,12.32,505.06,1780.02,0.0415543829710478,1,1,1,0.0,4.0,0,2023,6
1,76.07,37.05653995856545,2,1817.77,9,137.55,1,1,6,11,5,0,3.0,304.62,1,20.33,697.19,884.98,0.1908537543496255,0,1,0,0.0,4.0,0,2023,5
1,37.98,46.36807491287149,1,4806.61,6,91.18,0,8,6,19,6,0,5.0,32.65,1,28.5,632.84,1896.56,0.0480740749648401,0,1,1,0.0,1.0,0,2023,3
1,58.55,34.18617672996916,3,2216.21,0,209.14,1,7,6,22,2,4,2.0,312.77,1,31.44,585.17,828.61,0.2523943936599625,1,1,1,0.0,3.0,0,2023,9
1,42.34,31.368289355324208,0,4336.35,11,59.2,3,1,6,7,0,0,2.0,117.63,2,5.02,551.63,1180.72,0.0501350966965518,1,1,1,0.0,7.0,0,2023,3
1,51.51,18.0,5,535.87,3,120.81,2,1,6,9,2,0,4.0,809.1,1,17.3,672.17,207.18,0.5831273614760245,0,1,1,0.0,1.0,0,2023,1
0,56.85,42.65183614626153,2,2124.74,7,112.78,4,1,5,2,3,4,1.0,37.76,1,13.86,661.7,804.62,0.1401634602786505,1,1,0,0.0,4.0,0,2023,4
0,38.87,76.62130396747095,3,3365.08,0,162.82,0,7,6,13,5,2,0.0,0.0,1,5.28,744.06,884.98,0.3111554537134872,1,1,0,0.0,1.0,0,2023,5
2,47.56,56.3349005000003,3,3696.89,0,86.51,0,2,6,6,0,3,2.0,162.38,1,58.27,2048.15,1036.71,0.0834460516436829,1,1,1,0.0,1.0,0,2023,4
3,52.14,33.15567982561904,2,4597.47,11,88.95,3,1,6,23,6,2,1.0,126.78,1,15.25,1028.95,986.99,0.0901229614951304,1,1,1,0.0,1.0,0,2023,3
0,171.36,37.08883775939462,2,2581.93,6,153.96,1,0,0,14,5,0,1.0,44.81,1,10.26,1174.39,962.18,0.1600099000942199,0,1,1,0.0,4.0,0,2023,12
3,39.01,18.0,1,6699.68,2,109.36,0,7,0,17,3,0,3.0,261.79,1,13.11,1133.06,2058.0,0.0531402274253404,0,1,1,0.0,3.0,0,2023,9
3,33.05,39.01731216816206,2,3515.07,7,29.18,2,1,6,15,3,4,1.0,32.33,1,37.8,451.33,971.06,0.0300516082661479,1,1,1,0.0,1.0,0,2023,9
3,51.24,38.63895908676712,2,1494.84,2,50.13,4,1,9,8,2,0,0.0,0.0,1,14.37,573.66,552.98,0.0906476559021608,0,1,1,0.0,6.0,0,2023,12
2,46.16,18.0,1,5387.89,5,183.11,4,1,6,11,2,2,2.0,313.27,1,17.3,574.47,1959.4,0.0934531865332176,1,1,1,0.0,3.0,0,2023,7
3,138.32,23.463799057327257,2,3365.08,11,69.04,0,0,6,10,2,0,2.0,13.71,1,13.98,867.41,378.56,0.1823716923566597,1,1,1,0.0,4.0,0,2023,3
3,38.22,18.0,2,1685.24,0,91.26,2,1,0,11,2,0,4.0,434.7,1,37.09,511.08,369.68,0.2468508310389731,0,1,1,0.0,4.0,0,2023,3
0,93.76,34.44687906736788,5,504.65,8,136.75,4,1,8,10,2,2,2.0,226.16,2,44.2,1016.18,884.98,0.6835114174403185,0,1,1,0.0,2.0,0,2023,6
2,25.43,50.94157981677362,2,1581.43,11,54.88,0,0,1,16,5,4,0.0,16.46,1,15.5,256.54,505.24,0.1086170402214876,1,1,1,0.0,3.0,0,2023,3
3,38.71,32.625590266934296,3,2869.09,9,84.97,3,1,6,8,4,4,3.0,295.65,1,17.3,1317.78,631.31,0.1345960578809664,1,1,1,2.0,2.0,0,2023,6
0,19.22,18.0,2,2489.81,3,89.71,0,0,5,7,5,4,3.0,180.29,1,5.83,1541.63,766.65,0.117011434703403,1,1,1,1.0,3.0,0,2023,9
1,17.41,40.30005377931636,1,2162.58,11,158.56,1,1,6,16,0,0,1.0,53.06,1,0.88,684.89,448.58,0.3534661343648807,1,1,1,1.0,3.0,0,2023,9
3,61.87,41.31380263865962,3,2942.57,4,47.68,0,3,6,14,6,0,5.0,1077.03,1,18.62,433.03,612.97,0.0777782094068701,0,1,1,1.0,2.0,0,2023,10
0,35.98,24.628552128143102,1,3562.72,11,77.42,2,1,0,17,4,1,0.0,0.0,1,17.3,1436.96,1271.33,0.0608968681338867,1,1,1,0.0,4.0,0,2023,3
0,42.0,46.40503482223925,1,2065.34,11,122.67,0,1,6,1,2,2,1.0,41.21,1,17.3,1469.95,321.36,0.3817305808463695,1,1,1,0.0,1.0,0,2023,5
3,22.66,60.03709929688476,5,458.18,7,68.61,1,7,6,8,3,2,4.0,18.05,2,21.08,1063.46,151.45,0.4530122319354874,0,1,1,0.0,4.0,0,2023,10
2,55.34,76.5341778112605,2,2914.11,6,126.81,2,1,5,13,1,4,0.0,0.0,1,12.71,707.36,799.19,0.1586703911970121,1,1,1,1.0,6.0,0,2023,8
3,64.91,78.91668596607992,5,3365.08,8,39.12,1,8,2,21,1,0,2.0,170.33,1,20.18,487.51,99.61,0.3927239824451549,1,1,1,0.0,3.0,0,2023,6
2,37.98,18.0,2,2512.61,6,173.91,3,1,6,16,2,4,1.0,124.23,1,20.72,2178.6,430.91,0.4035787439984914,1,1,1,1.0,1.0,0,2023,5
1,58.06,33.980567022474645,3,3153.2,9,125.14,4,1,6,10,0,2,3.0,24.5,1,31.03,1501.12,909.88,0.1375392202375914,1,1,1,0.0,3.0,0,2023,8
3,74.77,48.83588987217557,3,3670.18,7,70.26,1,0,6,16,6,4,2.0,29.53,1,18.28,343.96,1307.06,0.0537536093039863,1,1,1,0.0,3.0,0,2023,7
0,124.13,28.459368889500688,3,3365.08,11,143.98,2,1,6,4,4,2,0.0,0.0,1,15.94,901.01,748.69,0.19231445734715,1,1,1,0.0,3.0,0,2023,7
0,55.83,40.60626423854674,2,1325.66,9,34.21,1,8,6,10,0,0,6.0,363.16,1,37.32,763.03,439.21,0.0778829982484269,1,0,1,0.0,3.0,0,2023,9
2,73.05,36.55386388596703,3,2988.66,5,94.09,4,1,6,9,5,3,3.0,71.51,1,60.85,557.82,808.98,0.116304662420731,1,1,1,0.0,6.0,0,2023,6
2,73.15,36.23734809096763,3,2980.36,1,166.22,3,1,6,23,0,3,2.0,282.94,2,32.3,440.62,884.98,0.1521394537654086,0,1,1,1.0,1.0,0,2023,12
0,53.37,18.0,3,5226.14,9,82.91,3,1,6,18,0,2,3.0,535.91,1,13.69,646.5,1827.33,0.0453696858466674,1,1,0,0.0,3.0,0,2023,6
1,67.58,51.94778476177398,3,2564.22,11,74.69,2,1,6,19,2,3,2.0,55.53,1,16.75,595.8,962.76,0.0775739135913982,1,1,1,0.0,3.0,0,2023,1
0,48.52,54.405616226088725,5,516.88,8,195.1,1,0,6,0,6,2,2.0,93.5,1,18.95,614.55,107.92,1.8078099467259867,0,1,1,0.0,2.0,0,2023,11
0,72.08,37.52628052963305,1,6271.23,2,213.16,0,0,6,10,1,3,1.0,58.9,1,23.1,413.85,1083.06,0.1968152688846634,1,0,1,1.0,8.0,0,2023,4
0,59.5,62.63162848499276,3,4768.03,1,159.82,1,0,6,12,4,2,0.0,0.0,1,35.96,1047.53,877.56,0.1821208454867498,1,1,1,0.0,2.0,0,2023,3
3,34.14,50.09082813559666,2,1852.02,11,164.13,4,1,5,15,2,2,3.0,614.74,1,19.02,1498.4,539.61,0.3041685906468532,1,1,1,1.0,2.0,0,2023,7
3,39.14,39.45925925362341,3,2873.74,11,70.77,1,8,6,12,1,0,2.0,63.32,1,17.3,1625.45,1131.64,0.0625331530763609,1,1,1,0.0,4.0,0,2023,9
0,15.89,49.1718103357354,5,829.28,7,111.06,1,3,3,13,2,1,0.0,0.0,1,6.97,607.19,884.98,0.4620914936147267,1,1,1,0.0,4.0,0,2023,2
0,58.21,55.19217503177191,3,2807.81,0,96.05,1,7,6,11,0,0,1.0,100.28,1,4.88,401.96,1068.31,0.0899115653309124,1,1,1,0.0,3.0,0,2023,12
3,88.53,34.77411821849391,0,2998.45,9,100.02,0,0,5,11,1,2,2.0,315.65,2,17.3,778.81,884.98,0.1180165220966087,1,1,1,0.0,6.0,0,2023,11
0,23.33,60.20559794020021,2,1729.83,11,84.56,0,6,6,14,3,2,3.0,41.82,1,16.39,372.66,376.04,0.2248838451658775,1,1,0,0.0,2.0,0,2023,1
3,52.59,60.76368993812854,2,1857.61,7,97.31,4,1,6,15,1,3,5.0,1279.17,1,7.85,1462.87,686.47,0.14175780865507,1,1,1,0.0,4.0,0,2023,10
0,90.3,41.70781685521406,2,2423.34,4,174.53,0,4,6,18,4,2,2.0,211.32,1,20.41,1002.72,485.85,0.3592203836092629,1,1,1,0.0,6.0,0,2023,11
3,49.72,63.0285469816582,2,2792.28,8,154.22,3,1,6,22,2,1,4.0,455.34,1,14.51,1101.35,919.91,0.1676461088832635,1,1,1,1.0,8.0,0,2023,3
0,60.34,47.62478199121432,3,3052.86,6,109.8,4,1,6,8,1,0,2.0,126.92,1,41.75,1238.06,956.08,0.1148404665912461,1,1,0,0.0,3.0,0,2023,1
0,42.94,41.1158110084712,3,3302.77,2,233.73,1,8,6,13,1,0,3.0,81.6,1,10.82,403.44,1022.06,0.2286798827538876,1,1,1,0.0,2.0,0,2023,4
0,87.0,35.32678747882614,1,5635.62,5,86.44,0,4,6,22,5,2,2.0,20.78,1,9.01,1114.8,1227.54,0.0704177714761525,1,1,1,0.0,7.0,0,2023,6
0,69.25,39.03973940492335,3,2968.52,4,157.8,0,0,6,17,3,4,1.0,91.4,1,20.71,652.11,899.23,0.1754843640119613,1,1,1,0.0,2.0,0,2023,5
2,30.1,65.56056991601545,1,5789.26,11,137.05,2,1,6,19,5,0,0.0,0.0,1,47.43,661.62,1189.09,0.1152545004351437,1,1,1,0.0,4.0,0,2023,6
3,49.57,38.83583207989842,2,1958.17,2,76.67,4,1,5,9,2,0,2.0,86.51,1,1.59,592.09,342.93,0.2235696327537595,0,1,1,1.0,2.0,0,2023,11
0,35.58,66.76519319116011,3,2939.69,11,81.78,1,6,0,10,5,0,2.0,70.49,1,17.45,843.58,938.19,0.08717247065321,1,1,1,0.0,6.0,0,2023,6
0,80.31,49.15188225679281,1,6469.35,11,154.11,4,1,6,13,2,4,5.0,378.17,1,17.3,1566.43,884.98,0.0630598954107008,1,1,1,0.0,4.0,0,2023,7
0,97.05,41.56466019115703,0,4572.05,9,44.64,2,1,6,8,1,2,6.0,137.47,1,9.51,1452.72,882.84,0.0505615227309084,1,1,1,0.0,1.0,0,2023,10
0,108.45,29.829859872660904,0,3771.85,4,68.36,3,1,6,9,4,1,1.0,55.37,1,7.46,538.78,1298.53,0.0526447108528368,1,1,1,0.0,1.0,0,2023,2
3,79.38,46.44880367004199,3,3859.47,1,61.17,0,2,6,10,1,0,2.0,80.76,1,16.14,461.5,1309.6,0.0467057933705786,1,1,1,0.0,1.0,0,2023,12
0,33.71,61.04118006221324,3,3365.08,7,118.17,3,1,6,10,0,0,2.0,174.67,1,19.03,1892.6,1197.09,0.0987138518418867,0,1,1,0.0,3.0,0,2023,12
0,60.54,41.9439804262757,2,1610.75,5,61.34,4,1,6,18,0,4,4.0,664.2,1,15.26,580.81,418.26,0.1466654364046558,1,1,0,1.0,1.0,0,2023,9
2,102.45,49.09536580853558,2,3123.78,11,125.16,1,6,6,6,3,0,1.0,67.64,1,11.04,379.07,884.98,0.1279176220952232,1,1,1,0.0,1.0,0,2023,6
0,148.35,47.45963447970199,2,2573.62,0,103.95,1,0,6,13,4,2,1.0,87.37,1,13.96,1122.85,418.11,0.2486093155698253,0,1,1,0.0,4.0,0,2023,9
0,91.96,18.0,2,4595.78,8,153.73,1,0,6,11,3,2,1.0,68.42,1,15.19,482.29,1406.5,0.1092979875830909,1,1,1,0.0,3.0,0,2023,9
2,101.05,50.266149412234746,1,5196.36,0,98.23,4,1,7,7,2,4,2.0,43.19,1,3.43,1502.43,884.98,0.0905057920651244,1,1,1,0.0,3.0,0,2023,7
3,21.92,32.0504043607012,2,2767.01,7,79.57,2,1,6,12,1,4,2.0,136.47,1,17.3,734.38,548.26,0.1451388171907421,1,1,1,1.0,2.0,0,2023,9
3,33.35,38.46613223435445,0,2211.33,11,35.41,3,1,6,12,3,3,1.0,24.3,1,17.3,296.06,827.63,0.0427849632829474,1,1,1,0.0,4.0,0,2023,12
3,66.9,32.18259391561261,3,3055.12,11,100.32,0,7,6,21,3,4,2.0,119.81,1,5.13,1264.81,905.18,0.1108311604896947,1,1,1,0.0,5.0,0,2023,7
1,84.76,40.38283912026012,2,3178.25,6,69.44,4,1,6,16,5,3,2.0,185.37,1,29.85,727.68,991.33,0.0700516515805337,1,1,1,0.0,3.0,0,2023,1
0,76.39,58.80953204901744,3,2899.1,4,110.68,1,0,6,23,5,0,0.0,0.0,1,11.5,557.69,815.15,0.1357725268050326,1,1,1,0.0,4.0,0,2023,1
3,74.22,39.80234143279599,1,6123.76,4,174.88,0,6,6,23,3,2,1.0,108.05,1,14.67,505.5,2375.83,0.073607737664677,1,1,1,0.0,6.0,0,2023,7
1,39.46,43.70529227580714,0,4140.62,6,140.62,4,1,6,10,6,2,2.0,120.16,1,17.3,758.91,1518.07,0.0926322772367551,1,1,1,1.0,7.0,0,2023,7
0,80.37,38.8159402081251,0,4638.54,3,56.85,0,7,6,18,4,4,1.0,3.19,1,16.97,2301.07,1360.87,0.041776613011448,0,1,1,0.0,3.0,0,2023,9
2,84.09,37.45483260500005,2,1779.75,1,56.52,3,1,6,14,3,2,1.0,62.07,1,9.35,438.58,358.77,0.1575456805669976,1,1,1,0.0,3.0,0,2023,2
2,48.22,36.28551887427239,1,3365.08,6,62.73,4,1,6,17,4,4,2.0,109.87,1,50.32,989.38,1101.76,0.0569374381832462,1,1,1,0.0,4.0,0,2023,12
3,66.03,55.4047711532008,3,5057.59,11,56.31,1,0,6,18,6,4,4.0,69.59,1,39.92,850.01,1648.74,0.0341556831085002,1,1,1,0.0,3.0,0,2023,10
0,60.12,44.706336167721446,1,4824.65,7,212.59,0,8,6,16,6,4,2.0,123.22,1,11.56,1826.67,1555.19,0.1366982214454317,1,0,1,0.0,2.0,0,2023,6
0,40.43,21.85174706237477,3,3576.51,1,90.98,2,1,6,19,2,0,0.0,0.0,1,17.83,887.24,1303.44,0.0697995541047151,1,1,1,0.0,2.0,0,2023,6
1,53.01,67.52512004077242,3,2850.66,6,60.88,0,5,6,11,0,4,4.0,138.98,1,11.15,245.11,754.95,0.0806366196887214,1,0,1,0.0,5.0,0,2023,1
0,30.65,38.27798460774301,4,588.99,0,80.35,2,1,6,20,6,0,3.0,61.21,1,10.37,561.84,181.61,0.4424627760217546,1,1,1,0.0,4.0,0,2023,4
2,49.41,38.69891121306358,1,4251.23,11,58.75,2,1,6,16,5,0,2.0,6.14,1,13.81,948.06,1664.3,0.0352973441893886,1,1,0,0.0,7.0,0,2023,3
0,139.78,73.53763634027325,1,4813.75,11,118.32,4,1,6,12,3,4,2.0,249.3,1,10.03,464.22,745.14,0.1587946812041665,1,1,1,1.0,6.0,0,2023,9
0,-50.0,47.298203008102014,1,4136.55,9,102.15,4,1,9,12,1,4,0.0,0.0,1,10.05,967.17,1343.66,0.0760247601420731,0,0,0,0.0,2.0,0,2023,2
0,104.7,41.827279887102186,2,2114.07,6,79.92,0,1,6,17,4,0,3.0,50.18,1,51.02,643.79,692.44,0.1154171243223511,0,1,1,0.0,2.0,0,2023,3
1,47.83,55.74935368238973,2,2307.56,1,35.61,3,1,6,11,2,0,4.0,104.57,2,33.87,967.11,903.99,0.039386382504952,1,1,1,0.0,3.0,0,2023,4
3,57.47,53.25151640733964,2,2004.06,3,87.07,0,5,1,0,0,0,2.0,74.38,1,13.35,819.16,607.09,0.1434269849463493,1,1,1,0.0,3.0,0,2023,3
3,38.16,33.21217071404858,1,3053.45,2,155.3,4,1,5,20,1,0,2.0,211.95,1,29.66,1156.13,773.77,0.200699938897274,1,1,1,0.0,5.0,0,2023,7
2,1.27,37.329728977665496,4,446.68,7,3.91,3,1,8,9,5,0,32.0,6522.63,4,14232.12,108.97,584.97,0.0066877941260318,1,1,1,2.0,7.0,1,2023,7
3,278.83,55.06261881437044,2,1649.3,6,73.65,0,6,7,18,1,3,32.49013120817773,99.53,2,27.07,988.66,379.37,0.19414567535305,1,1,1,0.0,4.0,0,2023,10
2,85.99,50.87169354561465,3,2489.61,5,-500.0,1,0,6,12,3,2,2.0,159.6,1,58.1,695.14,884.98,0.224237448489341,0,1,1,1.0,4.0,0,2023,10
2,111.45,23.22001165150797,3,5997.18,11,125.3,3,1,6,7,2,0,4.0,296.6,1,25.34,691.73,2139.23,0.0585736890977813,1,1,1,0.0,3.0,0,2023,1
0,70.33,85.0,0,7220.8,11,108.94,0,8,6,20,5,0,1.0,4.55,1,3.67,622.3,884.98,0.055952538294338,1,1,1,1.0,4.0,0,2023,3
0,90.39,31.257066977294045,1,4292.1,4,157.53,1,6,6,18,5,1,4.0,270.86,1,16.55,515.09,884.34,0.1781336991251157,1,1,1,0.0,1.0,0,2023,8
0,59.6,37.76652132318245,1,5745.48,11,109.56,3,1,6,9,5,4,1.0,80.48,1,7.84,1083.25,1543.9,0.0709652706128925,1,1,1,0.0,3.0,0,2023,12
0,77.01,28.105993629681137,3,3365.08,10,127.87,1,7,6,13,6,2,3.0,267.07,1,12.17,686.31,884.98,0.1572788471284939,1,1,1,0.0,3.0,0,2023,9
3,53.35,26.781717738161515,3,4381.4,11,311.29,3,1,8,15,5,4,1.0,36.53,1,37.18,-100.0,1300.2,0.2394163161141055,1,1,1,0.0,3.0,0,2023,6
0,67.22,35.59785507496376,2,3365.08,4,74.4,0,6,6,12,0,0,1.0,43.53,1,37.2,963.26,815.35,0.0912479348358739,0,1,1,0.0,3.0,0,2023,1
0,20.0,26.27802181519602,0,2984.84,3,178.21,1,6,6,8,3,4,5.0,1169.0,1,21.8,809.79,761.13,0.2341453438640524,1,1,1,0.0,1.0,0,2023,12
3,80.2,59.04649033497937,3,3837.0,11,104.14,3,1,6,12,1,0,3.0,75.92,1,20.0,809.74,1110.44,0.0937834234984673,1,1,1,0.0,1.0,0,2023,7
3,51.31,50.58973251199728,2,2246.23,6,163.04,1,8,9,7,1,4,3.0,629.81,2,42.5,1034.41,540.35,0.3017267605491972,1,1,0,0.0,2.0,0,2023,8
0,43.8,18.0,3,7502.95,8,57.15,2,1,6,17,0,2,2.0,198.46,1,27.53,550.34,2034.48,0.0280903588201454,1,1,1,0.0,8.0,0,2023,5
0,34.94,44.01899135525003,0,2757.92,4,91.99,4,1,6,5,0,4,3.0,69.96,1,14.57,834.83,684.81,0.1343234470620951,1,0,1,0.0,3.0,0,2023,6
